Date,Ensemble_Forecast,EMA7_Forecast,Lower_CI,Upper_CI
2025-09-24,8106.8052041485225,7996.209207319944,7832.770284318469,8380.840123978576
2025-09-25,8111.405889124304,7996.209207319944,7837.215452008864,8385.596326239744
2025-09-26,8115.993200014803,7996.209207319944,7841.647697699145,8390.33870233046
2025-09-27,8120.564490373788,7996.209207319944,7846.064464401092,8395.064516346485
2025-09-28,8125.119571664165,7996.209207319944,7850.465569950743,8399.773573377588
2025-09-29,8129.660270451877,7996.209207319944,7854.852779170502,8404.467761733253
2025-09-30,8134.181484113287,7996.209207319944,7859.221161921087,8409.141806305488
2025-10-01,8138.686300168993,7996.209207319944,7863.573701355412,8413.798898982574
2025-10-02,8143.172513247138,7996.209207319944,7867.908266649966,8418.43675984431
2025-10-03,8147.639052661885,7996.209207319944,7872.223823311383,8423.054282012388
